Indicator,ISO3,Population,Human Development Index,Multidimensional Poverty Index,Public Aid per capita,Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,Measles immunization coverage,Tuberculosis prevalence,Health expenditure per capita,Malaria death rate,Income Gini coefficient,Food Availability Score,Food Utilization Score,Food Access Score,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult literacy rate,Internet users,Mobile cellular subscriptions,Improved sanitation facilities,Improved water source,GDP per capita
Nepal,NPL,27797457,54,0.197,61.0,4.0,39.7,29.1,,86,241,80,0.1,32.8,4.4,2.7,4.0,2.9,-0.9,31,76.3,57.4,11.1,52.8,36.7,88.1,1249
Netherlands,NLD,16804224,92,,0.0,0.0,4.0,,,96,8,5385,,,3.6,0.0,0.1,4.3,1.8,83,,,93.0,117.5,100.0,100.0,42023
New Zealand,NZL,4470800,91,,0.0,0.0,6.3,,27.4,92,10,3292,,,3.7,0.0,1.9,4.0,1.7,91,,,89.5,110.3,,100.0,28012
Nicaragua,NIC,6080478,61,0.088,203.5,5.1,23.5,5.7,,99,55,335,0.1,40.5,4.3,3.9,x,3.1,-0.8,28,72.1,78.0,13.5,89.8,52.1,85.0,3206
Niger,NER,17831270,34,0.584,144.3,13.5,104.2,37.9,0.2,73,166,44,154.0,34.6,3.9,2.1,5.7,2.9,-0.7,34,,28.7,1.4,32.4,9.0,52.3,771
Nigeria,NGA,173615345,50,0.239,21.7,0.4,117.4,26.7,4.0,42,161,161,151.0,48.8,3.5,0.5,7.6,3.9,-1.0,25,50.3,51.1,32.9,67.7,27.8,64.0,2582
Norway,NOR,5084190,94,,0.0,0.0,2.8,,41.6,94,10,5970,,25.8,1.6,0.0,1.3,4.1,1.9,86,,,95.0,115.5,100.0,100.0,53396
Oman,OMN,3632444,78,,0.0,0.0,11.4,8.6,20.5,99,18,810,,,2.7,0.0,1.2,,0.2,47,98.0,86.9,60.0,181.7,96.6,93.0,27567
Pakistan,PAK,182142594,54,0.237,35.9,0.9,85.5,31.6,8.1,83,376,91,1.0,30.0,5.6,5.6,6.4,3.4,-0.8,28,67.4,54.9,10.0,66.8,47.6,91.4,2786
Palau,PLW,20918,77,,2067.0,6.8,17.5,,13.8,91,65,1680,,,4.7,0.0,x,2.6,-0.6,,,,,82.6,100.0,95.3,8100
Palestine,PSE,4169506,69,,1443.3,18.3,21.8,,,,,,,35.5,7.3,8.9,x,2.7,-0.8,,,95.3,,71.2,94.3,81.8,2900
Panama,PAN,3864170,77,,41.8,0.1,17.9,3.9,,98,64,1260,0.1,51.9,4.0,1.9,x,3.3,0.3,35,88.1,94.1,45.2,186.7,73.2,94.3,14096
Papua New Guinea,PNG,7321262,49,,175.1,4.4,61.4,18.1,0.5,67,541,151,36.0,,4.7,0.0,x,2.3,-0.7,25,,62.4,2.3,37.8,18.7,39.7,2532
Paraguay,PRY,6802295,68,,30.7,0.4,21.9,3.4,,91,63,633,0.0,52.4,5.6,2.0,3.7,4.0,-0.9,24,97.4,93.9,27.1,101.7,79.7,93.8,6224
Peru,PER,30375603,74,0.043,33.1,0.2,16.7,4.5,9.2,94,121,555,0.1,48.1,4.1,1.2,3.7,3.6,-0.1,38,85.5,89.6,38.2,98.8,73.1,86.8,10062
Philippines,PHL,98393574,66,0.038,9.0,0.0,29.9,20.7,,85,461,203,0.1,43.0,3.9,2.2,1.5,3.6,0.1,36,83.3,95.4,36.2,106.8,74.3,91.8,4080
Poland,POL,38530725,83,,0.0,0.0,5.2,,20.7,98,28,1489,,32.7,1.5,0.0,1.8,3.3,0.7,60,,99.7,65.0,132.7,89.5,,20184
